filename,width,height,class,xmin,ymin,xmax,ymax
1055.png,1200,800,paper,52,43,509,395
1055.png,1200,800,cardboard,600,0,1112,384
1055.png,1200,800,glass,49,400,525,784
1055.png,1200,800,metal,636,458,981,762
605.png,1200,800,paper,71,28,509,365
605.png,1200,800,metal,763,98,1175,411
605.png,1200,800,cardboard,0,400,512,784
605.png,1200,800,glass,764,426,1213,810
1450.png,1200,800,cardboard,0,0,437,384
1450.png,1200,800,glass,815,56,1136,372
1450.png,1200,800,trash,143,537,473,883
1450.png,1200,800,paper,650,456,1117,817
22.png,1200,800,trash,109,0,523,343
22.png,1200,800,plastic,777,105,1176,417
22.png,1200,800,glass,75,473,491,800
22.png,1200,800,cardboard,600,400,1112,784
1447.png,1200,800,plastic,145,55,554,369
1447.png,1200,800,cardboard,600,0,1037,384
1447.png,1200,800,trash,143,537,473,883
1447.png,1200,800,glass,815,456,1136,772
958.png,1200,800,paper,2,0,424,348
958.png,1200,800,trash,776,83,1288,467
958.png,1200,800,plastic,170,491,514,761
958.png,1200,800,metal,749,421,1261,802
933.png,1200,800,paper,0,0,512,384
933.png,1200,800,glass,600,0,1112,384
933.png,1200,800,metal,73,537,489,868
933.png,1200,800,plastic,624,400,1110,738
34.png,1200,800,glass,85,132,513,353
34.png,1200,800,trash,645,26,1144,410
34.png,1200,800,metal,0,485,512,869
34.png,1200,800,cardboard,725,442,1096,800
112.png,1200,800,trash,0,33,512,417
112.png,1200,800,plastic,747,49,1194,399
112.png,1200,800,cardboard,0,400,512,784
112.png,1200,800,glass,630,440,1095,778
1090.png,1200,800,paper,33,0,480,384
1090.png,1200,800,trash,780,63,1158,327
1090.png,1200,800,glass,28,455,540,661
1090.png,1200,800,cardboard,617,400,1129,784
423.png,1200,800,paper,94,56,606,440
423.png,1200,800,metal,716,86,1228,470
423.png,1200,800,glass,117,479,611,860
423.png,1200,800,plastic,600,400,992,757
1194.png,1200,800,trash,140,56,477,334
1194.png,1200,800,plastic,617,42,1054,309
1194.png,1200,800,glass,32,526,368,780
1194.png,1200,800,paper,614,400,1126,784
347.png,1200,800,trash,80,7,481,336
347.png,1200,800,glass,789,0,1183,384
347.png,1200,800,plastic,24,400,536,719
347.png,1200,800,metal,612,513,1091,897
1140.png,1200,800,plastic,67,62,413,380
1140.png,1200,800,cardboard,600,0,1112,384
1140.png,1200,800,trash,178,538,557,922
1140.png,1200,800,paper,634,476,1093,811
1169.png,1200,800,trash,90,160,486,499
1169.png,1200,800,metal,755,84,1267,468
1169.png,1200,800,cardboard,0,400,512,784
1169.png,1200,800,paper,703,469,1067,734
1256.png,1200,800,plastic,35,99,371,483
1256.png,1200,800,cardboard,600,0,1112,384
1256.png,1200,800,metal,86,415,514,752
1256.png,1200,800,trash,651,486,940,870
619.png,1200,800,trash,71,72,577,456
619.png,1200,800,cardboard,600,105,1112,489
619.png,1200,800,glass,13,504,506,819
619.png,1200,800,metal,798,508,1310,892
309.png,1200,800,paper,87,0,599,384
309.png,1200,800,trash,706,93,1128,436
309.png,1200,800,plastic,130,460,500,752
309.png,1200,800,glass,752,413,1109,786
831.png,1200,800,paper,22,0,534,384
831.png,1200,800,metal,697,0,1209,384
831.png,1200,800,glass,112,539,494,820
831.png,1200,800,trash,779,508,1168,806
1047.png,1200,800,metal,259,0,771,384
1047.png,1200,800,plastic,600,0,1063,384
1047.png,1200,800,cardboard,0,400,512,784
1047.png,1200,800,paper,641,400,1070,784
404.png,1200,800,trash,26,0,538,384
404.png,1200,800,paper,614,31,1106,386
404.png,1200,800,metal,249,518,659,789
404.png,1200,800,cardboard,600,400,1112,784
444.png,1200,800,plastic,112,90,485,434
444.png,1200,800,paper,658,0,1150,384
444.png,1200,800,trash,196,478,552,781
444.png,1200,800,glass,662,515,1120,812
1100.png,1200,800,glass,200,0,712,384
1100.png,1200,800,metal,628,46,1140,430
1100.png,1200,800,paper,0,400,512,784
1100.png,1200,800,cardboard,600,400,1112,784
795.png,1200,800,plastic,192,60,588,444
795.png,1200,800,cardboard,600,0,1112,384
795.png,1200,800,trash,141,469,560,792
795.png,1200,800,paper,600,415,991,797
835.png,1200,800,glass,112,139,494,420
835.png,1200,800,trash,779,108,1168,406
835.png,1200,800,paper,22,400,534,784
835.png,1200,800,cardboard,600,400,1112,784
1386.png,1200,800,trash,131,62,520,378
1386.png,1200,800,metal,749,34,1261,418
1386.png,1200,800,glass,0,406,402,779
1386.png,1200,800,paper,600,400,1063,775
1033.png,1200,800,paper,55,10,436,394
1033.png,1200,800,plastic,600,79,1112,397
1033.png,1200,800,trash,163,439,599,804
1033.png,1200,800,metal,600,495,1112,879
1465.png,1200,800,paper,91,36,602,420
1465.png,1200,800,trash,775,6,1131,222
1465.png,1200,800,cardboard,0,400,512,784
1465.png,1200,800,glass,679,512,980,747
578.png,1200,800,glass,0,0,512,384
578.png,1200,800,cardboard,644,50,1109,395
578.png,1200,800,plastic,0,508,508,811
578.png,1200,800,paper,600,408,1112,764
778.png,1200,800,trash,216,141,573,403
778.png,1200,800,paper,634,93,1019,382
778.png,1200,800,plastic,0,480,433,798
778.png,1200,800,metal,710,400,1161,776
516.png,1200,800,glass,189,136,469,366
516.png,1200,800,metal,600,0,1112,384
516.png,1200,800,trash,88,400,561,784
516.png,1200,800,paper,600,430,1047,814
802.png,1200,800,trash,20,73,532,445
802.png,1200,800,glass,747,82,1206,403
802.png,1200,800,cardboard,0,548,497,932
802.png,1200,800,plastic,792,507,1145,766
2.png,1200,800,trash,164,77,602,428
2.png,1200,800,glass,724,25,1099,368
2.png,1200,800,plastic,117,418,553,802
2.png,1200,800,metal,713,499,1057,810
